"productName","inQuantity","outQuantity","total","wh_pd_ID","stockTake"
"Cusan",0,0,200,"131",200
"Custard Apple",0,0,200,"128",200
"Dap ca",0,0,200,"338",200
"Dates 250g",0,0,200,"367",200
"Dates 5kg",0,0,200,"368",200
"Dill",0,0,200,"53",200
"Dot Dau",0,0,200,"369",200
"Dot lang Kg",0,0,200,"361",200
"Dragon Fruit",0,0,200,"349",200
"Dried coconut",0,0,200,"130",200
"Durian",0,0,200,"136",200
"Early Gold Apple",0,0,200,"199",200
"Egg fruit",0,0,200,"54",200
"Eggs 600g",0,0,200,"309",200
"Eggs 700g",0,0,200,"310",200
"Eggs 850g",0,0,200,"311",200
"Eggs Loose",0,0,200,"317",200
"Eggs WR 600g",0,0,200,"312",200
"Eggs WR 700g",0,0,200,"313",200
"Eggs GE 500g",0,0,200,"314",200
"Eggs GE 600g",0,0,200,"315",200
"Eggs GE 700g",0,0,200,"316",200
"English spinach",0,0,200,"322",200
"Enoki 200g",0,0,200,"343",200
"Enoki 330g",0,0,200,"344",200
"Fennel leek",0,0,200,"56",200
"Festival green",0,0,200,"75",200
"Festival red",0,0,200,"76",200
"Firm gold apple",0,0,200,"202",200
"Free range 600g",0,0,200,"318",200
"Free range 700g",0,0,200,"319",200
"Free range 800g",0,0,200,"320",200
"Fresh coconut",0,0,200,"129",200
"Fuji good",0,0,200,"188",200
"Fuji sale",0,0,200,"189",200
"Fuju persimmon",0,0,200,"139",200
"Fuju persimmon loose",0,0,200,"140",200
"Gala 1.5 kg",0,0,200,"362",200
"Gala 6 pkt",0,0,200,"194",200
"Gala good",0,0,200,"191",200
"Gala lunchbox 1kg",0,0,200,"195",200
"Gala Sale",0,0,200,"192",200
"Gala sale bin",0,0,200,"193",200
"Galanga",0,0,200,"57",200
"Garlic 500g",0,0,200,"262",200
"Garlic Chives",0,0,200,"265",200
"Garlic local",0,0,200,"264",200
"Garlic peel 500g",0,0,200,"263",200
"Garlic Shoot",0,0,200,"352",200
"Ginger old",0,0,200,"59",200
"Ginger young",0,0,200,"60",200
"Golden delicious",0,0,200,"196",200
"Granny Smith",0,0,200,"197",200
"Granny Smith pkt",0,0,200,"198",200
"Grape Black",0,0,200,"247",200
"Grape red globe",0,0,200,"249",200
"Grape red seedless",0,0,200,"248",200
"Grape white seedless",0,0,200,"250",200
"Grapefruit Pomelo",0,0,200,"254",200
"Guava",0,0,200,"246",200
"Hanh huong Kg",0,0,200,"357",200
"Hi Early",0,0,200,"200",200
"Hi Early pkt",0,0,200,"201",200
"Honey dew",0,0,200,"154",200
"Honey dew gold",0,0,200,"155",200
"Imperial Pkt",0,0,200,"159",200
"Italian basil",0,0,200,"90",200
"Jackfruit",0,0,200,"66",200
"Jazz Apple",0,0,200,"208",200
"Kai choy",0,0,200,"326",200
"Kailan",0,0,200,"325",200
"Kale",0,0,200,"321",200
"Kanzi",0,0,200,"190",200
"King Oyster",0,0,200,"345",200
"Kinh gioi Kg",0,0,200,"359",200
"Kiwi",0,0,200,"210",200
"Kiwi gold",0,0,200,"212",200
"Kiwi Tray",0,0,200,"211",200
"Kohlrabi",0,0,200,"334",200
"La Lot",0,0,200,"356",200
"Lady William",0,0,200,"203",200
"Leek",0,0,200,"68",200
"Lemon 2nd",0,0,200,"71",200
"Lemon good",0,0,200,"69",200
"Lemon pre-pack",0,0,200,"70",200
"Lemongrass",0,0,200,"333",200
"Lettuce",0,0,200,"82",200
"Lettuce mix 250g",0,0,200,"85",200
"Lettuce trio",0,0,200,"84",200
"Lime",0,0,200,"73",200
"Lime Kaffir",0,0,200,"74",200
"Lime Leaf",0,0,200,"341",200
"Lime pkt",0,0,200,"72",200
"Longan",0,0,200,"137",200
"Lotus Root",0,0,200,"58",200
"Luffa (India)",0,0,200,"63",200
"Lychees",0,0,200,"138",200
"Mandarin Afourer",0,0,200,"163",200
"Mandarin Afourer Pkt",0,0,200,"164",200
"Mandarin Amigo",0,0,200,"166",200
"Mandarin Clementine",0,0,200,"160",200
"Mandarin Daisy",0,0,200,"157",200
"Mandarin Egypt",0,0,200,"156",200
"Mandarin Hickson",0,0,200,"165",200
"Mandarin Imperial",0,0,200,"158",200
"Mandarin Pre-pack",0,0,200,"167",200
"Mango bulk",0,0,200,"149",200
"Mango green",0,0,200,"141",200
"Mango Ken",0,0,200,"144",200
"Mango Ken 23",0,0,200,"145",200
"Mango Ken 25",0,0,200,"146",200
"Mango Mexico",0,0,200,"142",200
"Mango Mexico Yellow",0,0,200,"143",200
"Mango R2E2",0,0,200,"148",200
"Mangosteen",0,0,200,"150",200
"Mesculin mix",0,0,200,"365",200
"Mint",0,0,200,"330",200
"mixed goumet",0,0,200,"348",200
"Mong toi",0,0,200,"340",200
"Murcott mandarin",0,0,200,"161",200
"Mushrooms",0,0,200,"92",200
"Mushrooms field",0,0,200,"94",200
"Mushrooms punnet",0,0,200,"93",200
"Nashi pear",0,0,200,"225",200
"Nashi pear No2",0,0,200,"226",200
"Nashi pear pkt",0,0,200,"227",200
"Nectarines sale",0,0,200,"168",200
"Nectarines white",0,0,200,"169",200
"Nectarines white pkt",0,0,200,"170",200
"Nectarines yellow",0,0,200,"171",200
"Nectarines yellow pkt",0,0,200,"172",200
"Ngo gai",0,0,200,"335",200
"Ngo om",0,0,200,"336",200
"Okra baby",0,0,200,"281",200
"Onion Flower",0,0,200,"353",200
"Onion pickle",0,0,200,"275",200
"Onion red 10 kg",0,0,200,"273",200
"onion red 1kg",0,0,200,"274",200
"Onion red 2 kg",0,0,200,"272",200
"Onion salad red",0,0,200,"280",200
"Onion salad white",0,0,200,"279",200
"Onion white 10 kg",0,0,200,"277",200
"Onion white 20 kg",0,0,200,"276",200
"Onion white 5 kg",0,0,200,"278",200
"Orange 2 kg",0,0,200,"285",200
"Orange 3kg",0,0,200,"286",200
"Orange box",0,0,200,"283",200
"Orange Cara Bins",0,0,200,"288",200
"Orange cara box",0,0,200,"287",200
"Orange Navel",0,0,200,"282",200
"Orange Sales",0,0,200,"284",200
"oyster 100g",0,0,200,"346",200
"Pandan leaf",0,0,200,"355",200
"Papaya",0,0,200,"179",200
"Paprika green",0,0,200,"95",200
"Paprika red",0,0,200,"96",200
"Paprika yellow",0,0,200,"97",200
"Parsley",0,0,200,"99",200
"Parsley Italian",0,0,200,"98",200
"Parsnips",0,0,200,"100",200
"Passion fruit",0,0,200,"151",200
"Paw paw green",0,0,200,"180",200
"Peaches Donut",0,0,200,"177",200
"Peaches Gold",0,0,200,"176",200
"Peaches white",0,0,200,"174",200
"Peaches white NO1",0,0,200,"173",200
"Peaches yellow",0,0,200,"175",200
"Pear barlet",0,0,200,"217",200
"Pear bosc",0,0,200,"218",200
"Pear cocktail",0,0,200,"219",200
"Pear Corella",0,0,200,"223",200
"Pear josephine",0,0,200,"220",200
"Pear kosui",0,0,200,"216",200
"Pear packham",0,0,200,"213",200
"Pear Packham Pkt",0,0,200,"214",200
"Pear Precose",0,0,200,"221",200
"Pear Red",0,0,200,"224",200
"Pear Yaly",0,0,200,"215",200
"Pineapples leaf",0,0,200,"181",200
"Pineapples sugar",0,0,200,"182",200
"Pink lady good",0,0,200,"206",200
"Pink lady PKT",0,0,200,"207",200
"Plum August Candy",0,0,200,"245",200
"Plum Bella",0,0,200,"230",200
"Plum Black Amber",0,0,200,"229",200
"Plum Dappe Danny",0,0,200,"240",200
"Plum Flavour fall",0,0,200,"244",200
"Plum Fortune",0,0,200,"241",200
"Plum Kelsey",0,0,200,"238",200
"Plum Mid Red",0,0,200,"243",200
"Plum Midnight",0,0,200,"242",200
"Plum October",0,0,200,"236",200
"Plum Primetime",0,0,200,"237",200
"Plum Seria",0,0,200,"228",200
"Plum Sunrise",0,0,200,"239",200
"Plum Tegan Blue",0,0,200,"234",200
"Plum tegan blue pkt",0,0,200,"235",200
"Pok choy",0,0,200,"327",200
"Pomegranates",0,0,200,"183",200
"Pomelo",0,0,200,"152",200
"Potato 15kg",0,0,200,"290",200
"Potatoes 10kg gourmet",0,0,200,"291",200
"Potatoes 10kg select",0,0,200,"292",200
"Potatoes 16kg",0,0,200,"289",200
"Potatoes 20kg GM",0,0,200,"297",200
"Potatoes 20kg RB",0,0,200,"298",200
"Potatoes 20kg SL",0,0,200,"299",200
"Potatoes 4kg Blue",0,0,200,"293",200
"Potatoes 4kg Purple",0,0,200,"294",200
"Potatoes 4kg Red",0,0,200,"295",200
"Potatoes 4kg Yellow",0,0,200,"296",200
"Precose lunch box",0,0,200,"222",200
"Prune",0,0,200,"184",200
"Pumpkin butter",0,0,200,"304",200
"Pumpkin gold",0,0,200,"306",200
"Pumpkin japanese",0,0,200,"305",200
"Purple yam",0,0,200,"371",200
"Radichio",0,0,200,"79",200
"Rambutan",0,0,200,"153",200
"Rau dang kg",0,0,200,"360",200
"Rau den",0,0,200,"332",200
"Rau ram",0,0,200,"337",200
"Red Grapefruit",0,0,200,"252",200
"Red radish",0,0,200,"107",200
"Rhubarb",0,0,200,"101",200
"Robi gold Apple",0,0,200,"209",200
"Rock melon",0,0,200,"185",200
"Rocket",0,0,200,"89",200
"Runner bean",0,0,200,"102",200
"Sapoche",0,0,200,"342",200
"Shallots 10 kg",0,0,200,"267",200
"Shallots 5kg",0,0,200,"266",200
"shiitake",0,0,200,"347",200
"Silver beet",0,0,200,"21",200
"Snake beans",0,0,200,"61",200
"Snakekoil",0,0,200,"65",200
"Snow pea",0,0,200,"103",200
"Snow pea sprouts",0,0,200,"104",200
"Soup pack",0,0,200,"105",200
"Spring onion",0,0,200,"22",200
"Squash",0,0,200,"86",200
"Star fruit",0,0,200,"372",200
"Strawberry 250g",0,0,200,"186",200
"Strawberry 500g",0,0,200,"187",200
"Stringless beans",0,0,200,"62",200
"Sugar snap",0,0,200,"364",200
"Sundowners",0,0,200,"204",200
"Sundowners sales",0,0,200,"205",200
"Swedes",0,0,200,"106",200
"Sweet potato purple",0,0,200,"300",200
"Sweet potato red",0,0,200,"301",200
"Sweet potato white",0,0,200,"302",200
"Tangelo",0,0,200,"162",200
"Taro",0,0,200,"351",200
"Taro Jap (Khoai So)",0,0,200,"350",200
"Thai basil",0,0,200,"91",200
"Thai eggplant",0,0,200,"55",200
"Tia to",0,0,200,"339",200
"Tomato Cherry box",0,0,200,"115",200
"Tomato No2",0,0,200,"110",200
"Tomato Roma",0,0,200,"111",200
"Tomato Roma PKT",0,0,200,"112",200
"Tomatoes Cherry",0,0,200,"113",200
"Tomatoes Grape",0,0,200,"114",200
"Tomatoes pkt",0,0,200,"108",200
"Tomatoes Truss",0,0,200,"116",200
"Tomatoes  No1",0,0,200,"109",200
"Turmeric bag",0,0,200,"117",200
"Turnip",0,0,200,"118",200
"Water Cress",0,0,200,"363",200
"Water Spinach",0,0,200,"331",200
"Watermelons seeded",0,0,200,"308",200
"Watermelons seedless",0,0,200,"307",200
"White Dome",0,0,200,"251",200
"White Pok choy",0,0,200,"328",200
"White radish",0,0,200,"119",200
"Winter melon cut",0,0,200,"121",200
"Winters melon",0,0,200,"120",200
"Yam (Khoai Mo)",0,0,200,"303",200
"Yellow Chilli",0,0,200,"41",200
"Yellow Grapefruit",0,0,200,"253",200
"Zucchini",0,0,200,"122",200
